lemme,cgram,genre,nombre,freqfilms2,freqlivres,overall_freq
allemand,ADJ,m,s,19.91,27.97,23.94
brave,ADJ,,s,24.55,23.31,23.93
égal,ADJ,m,s,27.4,20.27,23.835
second,ADJ,m,s,15.32,32.3,23.81
furieux,ADJ,m,,18.06,29.53,23.795
affreux,ADJ,m,,25.34,22.23,23.785
seul,ADJ,f,p,17.22,30.27,23.745
fidèle,ADJ,,s,20.04,27.43,23.735
mauvais,ADJ,f,p,26.32,21.08,23.7
vague,ADJ,,s,6.32,41.08,23.7
charmant,ADJ,m,s,27.52,19.86,23.69
français,ADJ,f,p,2.25,45.07,23.66
épais,ADJ,m,,6.08,41.01,23.545
différent,ADJ,f,p,23.25,23.65,23.45
personnel,ADJ,m,s,28.48,18.38,23.43
court,ADJ,f,s,14.07,32.77,23.42
aimable,ADJ,,s,21.98,24.59,23.285
malin,ADJ,m,s,33.11,13.38,23.245
humide,ADJ,,s,8.24,38.24,23.24
absurde,ADJ,,s,21.56,24.8,23.18
méchant,ADJ,m,s,30.23,16.01,23.12
fameux,ADJ,m,,12.77,33.31,23.04
vierge,ADJ,,s,24.22,21.82,23.02
fin,ADJ,m,s,12.14,33.72,22.93
bleu,ADJ,m,p,12.97,32.84,22.905
bref,ADJ,m,s,10.34,35.2,22.77
différent,ADJ,m,p,22.67,22.64,22.655
arrière,ADJ,,,17.38,27.7,22.54
jaloux,ADJ,m,,29.87,15.14,22.505
général,ADJ,f,s,10.27,34.73,22.5
perdu,ADJ,m,s,17.5,27.43,22.465
commun,ADJ,m,s,12.55,32.16,22.355
ami,ADJ,m,p,34.27,10.27,22.27
raisonnable,ADJ,,s,25.04,19.39,22.215
demi,ADJ,m,s,25.18,19.12,22.15
ouvert,ADJ,m,s,13.19,31.08,22.135
fin,ADJ,f,s,10.16,33.99,22.075
haut,ADJ,f,p,6.72,37.43,22.075
mort,ADJ,f,s,15.87,28.18,22.025
continue,ADJ,f,s,35.19,8.85,22.02
noble,ADJ,,s,23.73,20.0,21.865
sec,ADJ,f,s,8.72,35.0,21.86
électrique,ADJ,,s,15.95,27.5,21.725
minuscule,ADJ,,s,5.07,38.04,21.555
secret,ADJ,f,s,14.43,28.51,21.47
différent,ADJ,f,s,24.45,18.31,21.38
censé,ADJ,m,s,38.22,4.53,21.375
cher,ADJ,m,p,28.61,13.99,21.3
puissant,ADJ,m,s,22.65,19.86,21.255
riche,ADJ,,p,19.57,22.91,21.24
physique,ADJ,,s,14.76,27.5,21.13
magique,ADJ,,s,21.84,19.8,20.82
public,ADJ,f,s,16.5,24.93,20.715
large,ADJ,,p,4.41,36.96,20.685
inquiet,ADJ,m,s,17.9,23.38,20.64
moderne,ADJ,,s,16.77,24.46,20.615
plein,ADJ,f,p,8.6,32.43,20.515
social,ADJ,f,s,16.06,24.8,20.43
total,ADJ,f,s,15.26,24.86,20.06
tiède,ADJ,,s,3.35,36.69,20.02
moche,ADJ,,s,25.64,14.32,19.98
vif,ADJ,f,s,9.09,30.61,19.85
populaire,ADJ,,s,16.23,23.45,19.84
jaune,ADJ,,p,5.62,34.05,19.835
politique,ADJ,,p,13.2,26.42,19.81
marrant,ADJ,m,s,30.41,9.19,19.8
enchanté,ADJ,m,s,35.28,4.26,19.77
sombre,ADJ,,p,7.21,32.03,19.62
mystérieux,ADJ,m,,11.84,27.36,19.6
réel,ADJ,m,s,23.97,15.2,19.585
épais,ADJ,f,s,3.28,35.88,19.58
précieux,ADJ,m,,16.13,22.91,19.52
naturel,ADJ,f,s,14.02,24.86,19.44
blond,ADJ,f,s,8.45,29.93,19.19
complet,ADJ,m,s,17.76,20.61,19.185
urgent,ADJ,m,s,26.75,11.62,19.185
ivre,ADJ,,s,16.59,21.76,19.175
amusant,ADJ,m,s,25.24,13.04,19.14
lointain,ADJ,m,s,5.05,33.18,19.115
feu,ADJ,,,21.93,16.08,19.005
fixe,ADJ,,s,9.83,27.97,18.9
parfait,ADJ,f,s,19.32,18.45,18.885
particulier,ADJ,m,s,13.88,23.65,18.765
simple,ADJ,,p,13.12,24.32,18.72
semblable,ADJ,,s,5.99,31.42,18.705
quelconque,ADJ,,s,9.79,27.57,18.68
lâche,ADJ,,s,24.65,12.7,18.675
sérieux,ADJ,f,s,23.64,13.65,18.645
sacré,ADJ,f,s,20.68,16.55,18.615
normal,ADJ,f,s,23.74,13.45,18.595
venu,ADJ,m,s,13.93,23.24,18.585
juif,ADJ,m,s,17.23,19.86,18.545
demi,ADJ,f,s,12.98,24.05,18.515
américain,ADJ,f,s,17.49,19.53,18.51
proche,ADJ,,p,17.05,19.86,18.455
plat,ADJ,m,s,8.34,28.51,18.425
suprême,ADJ,,s,14.98,21.76,18.37
inconnu,ADJ,m,s,10.31,26.42,18.365
sourd,ADJ,m,s,16.96,19.73,18.345
joli,ADJ,f,p,20.99,15.68,18.335
assis,ADJ,m,,16.96,19.66,18.31
fier,ADJ,f,s,19.68,16.69,18.185
prudent,ADJ,m,s,23.79,12.43,18.11
allemand,ADJ,f,s,10.82,25.34,18.08
gras,ADJ,m,,10.55,25.61,18.08
public,ADJ,m,s,17.9,18.04,17.97
étranger,ADJ,m,s,12.96,22.84,17.9
commun,ADJ,f,s,7.17,28.58,17.875
merveilleux,ADJ,f,s,20.93,14.8,17.865
délicieux,ADJ,m,,20.62,15.07,17.845
militaire,ADJ,,p,8.63,27.03,17.83
ordinaire,ADJ,,s,15.54,19.86,17.7
lointain,ADJ,f,s,2.89,32.5,17.695
charmant,ADJ,f,s,21.04,14.32,17.68
fatigué,ADJ,m,s,18.46,16.89,17.675
rond,ADJ,m,s,6.81,28.04,17.425
haut,ADJ,m,p,5.48,29.26,17.37
rose,ADJ,,p,5.28,29.46,17.37
innocent,ADJ,m,s,23.49,11.22,17.355
chouette,ADJ,,s,22.27,12.3,17.285
étrange,ADJ,,p,14.61,19.93,17.27
fort,ADJ,m,p,17.0,17.43,17.215
paisible,ADJ,,s,6.32,27.84,17.08
obscur,ADJ,m,s,5.0,29.12,17.06
