lemme,cgram,genre,nombre,freqfilms2,freqlivres,overall_freq
salement,ADV,,,2.28,6.01,8.29
inconsciemment,ADV,,,2.0,6.28,8.28
convenablement,ADV,,,2.02,6.22,8.24
distinctement,ADV,,,1.48,6.76,8.24
pêle-mêle,ADV,,,0.0,8.24,8.24
essentiellement,ADV,,,1.65,6.55,8.2
furieusement,ADV,,,0.87,7.3,8.17
sacrément,ADV,,,6.01,2.16,8.17
brièvement,ADV,,,1.92,6.22,8.14
dangereusement,ADV,,,2.13,5.88,8.01
mutuellement,ADV,,,3.4,4.59,7.99
solennellement,ADV,,,1.77,6.15,7.92
véritablement,ADV,,,2.03,5.88,7.91
cash,ADV,,,7.25,0.61,7.86
séparément,ADV,,,4.01,3.78,7.79
horriblement,ADV,,,3.23,4.53,7.76
sauvagement,ADV,,,1.48,6.28,7.76
nerveusement,ADV,,,0.38,7.36,7.74
hyper,ADV,,,6.66,0.95,7.61
joliment,ADV,,,2.19,5.41,7.6
out,ADV,,,6.86,0.68,7.54
mollo,ADV,,,5.23,2.3,7.53
gratis,ADV,,,4.39,3.11,7.5
conformément,ADV,,,3.09,4.26,7.35
intérieurement,ADV,,,1.29,6.01,7.3
premièrement,ADV,,,5.51,1.76,7.27
à l'improviste,ADV,,,2.67,4.53,7.2
légalement,ADV,,,5.09,2.03,7.12
simultanément,ADV,,,1.29,5.81,7.1
vraisemblablement,ADV,,,1.39,5.68,7.07
techniquement,ADV,,,6.42,0.61,7.03
obscurément,ADV,,,0.01,6.96,6.97
finement,ADV,,,1.03,5.88,6.91
aucunement,ADV,,,1.01,5.81,6.82
aux aguets,ADV,,,0.87,5.88,6.75
contrebas,ADV,,,0.23,6.49,6.72
éperdument,ADV,,,1.01,5.68,6.69
ardemment,ADV,,,1.39,5.2,6.59
franco,ADV,,,3.87,2.7,6.57
ici-bas,ADV,,,3.58,2.97,6.55
sourdement,ADV,,,0.0,6.55,6.55
douloureusement,ADV,,,1.0,5.54,6.54
inutilement,ADV,,,1.83,4.66,6.49
momentanément,ADV,,,1.29,5.2,6.49
continuellement,ADV,,,1.67,4.8,6.47
automatiquement,ADV,,,2.61,3.85,6.46
avidement,ADV,,,0.38,6.08,6.46
rebours,ADV,,,3.52,2.91,6.43
généreusement,ADV,,,1.81,4.53,6.34
naïvement,ADV,,,0.27,6.01,6.28
primo,ADV,,,4.1,2.16,6.26
sus,ADV,,,2.57,3.65,6.22
furtivement,ADV,,,1.13,5.07,6.2
alternativement,ADV,,,0.16,5.88,6.04
bonnement,ADV,,,1.37,4.66,6.03
grossièrement,ADV,,,0.61,5.41,6.02
formellement,ADV,,,1.48,4.53,6.01
humblement,ADV,,,2.26,3.65,5.91
stupidement,ADV,,,0.82,5.07,5.89
miraculeusement,ADV,,,1.34,4.53,5.87
amèrement,ADV,,,0.63,5.2,5.83
délicieusement,ADV,,,0.52,5.27,5.79
au-dedans,ADV,,,0.92,4.86,5.78
habilement,ADV,,,0.58,5.2,5.78
quotidiennement,ADV,,,0.97,4.8,5.77
résolument,ADV,,,0.39,5.34,5.73
hâtivement,ADV,,,0.12,5.54,5.66
fidèlement,ADV,,,1.12,4.53,5.65
rageusement,ADV,,,0.03,5.61,5.64
doublement,ADV,,,1.36,4.26,5.62
docilement,ADV,,,0.07,5.54,5.61
arrière,ADV,,,4.17,1.42,5.59
fatalement,ADV,,,0.44,5.07,5.51
invariablement,ADV,,,0.64,4.86,5.5
politiquement,ADV,,,2.73,2.77,5.5
sexuellement,ADV,,,4.61,0.88,5.49
minutieusement,ADV,,,0.74,4.73,5.47
deuxièmement,ADV,,,4.58,0.88,5.46
atrocement,ADV,,,2.27,3.18,5.45
admirablement,ADV,,,0.71,4.73,5.44
systématiquement,ADV,,,1.25,4.19,5.44
considérablement,ADV,,,1.0,4.39,5.39
interminablement,ADV,,,0.05,5.34,5.39
irrémédiablement,ADV,,,1.12,4.19,5.31
dignement,ADV,,,1.8,3.51,5.31
à jeun,ADV,,,1.45,3.85,5.3
pareillement,ADV,,,1.57,3.72,5.29
théoriquement,ADV,,,2.58,2.7,5.28
amicalement,ADV,,,1.15,4.12,5.27
abondamment,ADV,,,0.3,4.93,5.23
exceptionnellement,ADV,,,1.03,4.19,5.22
mortellement,ADV,,,2.03,3.18,5.21
pensivement,ADV,,,0.01,5.2,5.21
impunément,ADV,,,1.9,3.24,5.14
consciencieusement,ADV,,,0.25,4.86,5.11
grand-peine,ADV,,,0.25,4.86,5.11
intimement,ADV,,,0.84,4.26,5.1
fissa,ADV,,,1.84,3.24,5.08
présentement,ADV,,,1.27,3.78,5.05
étonnamment,ADV,,,1.01,3.99,5.0
rigoureusement,ADV,,,0.23,4.73,4.96
outre-mer,ADV,,,0.89,4.05,4.94
pesamment,ADV,,,0.0,4.93,4.93
perpétuellement,ADV,,,0.26,4.66,4.92
sournoisement,ADV,,,0.12,4.8,4.92
modestement,ADV,,,0.52,4.39,4.91
dûment,ADV,,,0.55,4.32,4.87
savamment,ADV,,,0.03,4.8,4.83
irrésistiblement,ADV,,,0.14,4.66,4.8
confortablement,ADV,,,1.54,3.24,4.78
fébrilement,ADV,,,0.24,4.53,4.77
ostensiblement,ADV,,,0.04,4.66,4.7
activement,ADV,,,1.18,3.51,4.69
positivement,ADV,,,1.58,3.11,4.69
respectueusement,ADV,,,0.79,3.85,4.64
radicalement,ADV,,,0.99,3.65,4.64
califourchon,ADV,,,0.44,4.19,4.63
gratos,ADV,,,3.94,0.68,4.62
aveuglément,ADV,,,1.3,3.31,4.61
fin,ADV,,,2.96,1.62,4.58
logiquement,ADV,,,1.33,3.24,4.57
inévitablement,ADV,,,1.02,3.51,4.53
idem,ADV,,,1.86,2.64,4.5
affectueusement,ADV,,,1.11,3.38,4.49
couramment,ADV,,,1.38,3.11,4.49
vigoureusement,ADV,,,0.55,3.92,4.47
parce,ADV,,,3.49,0.95,4.44
grandement,ADV,,,1.59,2.84,4.43
respectivement,ADV,,,0.16,4.26,4.42
aimablement,ADV,,,0.52,3.85,4.37
bravement,ADV,,,0.59,3.78,4.37
méthodiquement,ADV,,,0.09,4.26,4.35
clandestinement,ADV,,,1.48,2.84,4.32
prodigieusement,ADV,,,0.67,3.65,4.32
farouchement,ADV,,,0.26,4.05,4.31
agréablement,ADV,,,0.63,3.65,4.28
démesurément,ADV,,,0.09,4.19,4.28
gros,ADV,,,3.39,0.88,4.27
excessivement,ADV,,,1.14,3.11,4.25
inexorablement,ADV,,,0.33,3.92,4.25
incognito,ADV,,,1.87,2.36,4.23
passablement,ADV,,,0.51,3.72,4.23
accidentellement,ADV,,,3.39,0.81,4.2
magnifiquement,ADV,,,1.43,2.77,4.2
obligatoirement,ADV,,,1.13,3.04,4.17
prestement,ADV,,,0.09,4.05,4.14
lerche,ADV,,,0.0,4.12,4.12
uniformément,ADV,,,0.06,4.05,4.11
courageusement,ADV,,,0.61,3.45,4.06
incessamment,ADV,,,0.48,3.58,4.06
please,ADV,,,3.18,0.88,4.06
lâchement,ADV,,,1.07,2.97,4.04
indépendamment,ADV,,,0.55,3.45,4.0
paradoxalement,ADV,,,0.22,3.78,4.0
partiellement,ADV,,,1.03,2.97,4.0
énergiquement,ADV,,,0.35,3.65,4.0
absurdement,ADV,,,0.14,3.72,3.86
puissamment,ADV,,,0.06,3.78,3.84
religieusement,ADV,,,0.8,3.04,3.84
innocemment,ADV,,,0.64,3.18,3.82
typiquement,ADV,,,1.86,1.96,3.82
injustement,ADV,,,1.58,2.23,3.81
intégralement,ADV,,,0.57,3.24,3.81
mécaniquement,ADV,,,0.12,3.65,3.77
involontairement,ADV,,,0.57,3.18,3.75
précautionneusement,ADV,,,0.01,3.72,3.73
à_tue-tête,ADV,,,0.0,3.72,3.72
ironiquement,ADV,,,0.95,2.77,3.72
chaudement,ADV,,,1.07,2.64,3.71
réciproquement,ADV,,,0.26,3.45,3.71
sensiblement,ADV,,,0.13,3.58,3.71
parallèlement,ADV,,,0.2,3.45,3.65
exagérément,ADV,,,0.26,3.38,3.64
prochainement,ADV,,,0.86,2.77,3.63
indirectement,ADV,,,1.05,2.57,3.62
scrupuleusement,ADV,,,0.56,3.04,3.6
approximativement,ADV,,,1.64,1.96,3.6
férocement,ADV,,,0.62,2.97,3.59
temporairement,ADV,,,2.64,0.95,3.59
traditionnellement,ADV,,,0.34,3.24,3.58
gauchement,ADV,,,0.1,3.45,3.55
rêveusement,ADV,,,0.1,3.45,3.55
décemment,ADV,,,0.96,2.57,3.53
par mégarde,ADV,,,0.61,2.91,3.52
pieusement,ADV,,,0.41,3.11,3.52
indifféremment,ADV,,,0.06,3.45,3.51
moult,ADV,,,0.33,3.18,3.51
quand,ADV,,,2.81,0.68,3.49
est-ce qu,ADV,,,3.41,0.07,3.48
verticalement,ADV,,,0.17,3.31,3.48
jalousement,ADV,,,0.95,2.5,3.45
mauvais,ADV,,,2.77,0.68,3.45
inexplicablement,ADV,,,0.23,3.18,3.41
triomphalement,ADV,,,0.03,3.38,3.41
raisonnablement,ADV,,,1.03,2.36,3.39
matériellement,ADV,,,0.31,3.04,3.35
périodiquement,ADV,,,0.17,3.18,3.35
chaleureusement,ADV,,,1.46,1.89,3.35
immanquablement,ADV,,,0.1,3.24,3.34
scientifiquement,ADV,,,2.22,1.08,3.3
impatiemment,ADV,,,0.79,2.5,3.29
noblement,ADV,,,0.58,2.7,3.28
consciemment,ADV,,,0.92,2.36,3.28
à l'aveuglette,ADV,,,1.11,2.16,3.27
derechef,ADV,,,0.01,3.24,3.25
prématurément,ADV,,,1.22,2.03,3.25
deçà,ADV,,,0.27,2.97,3.24
gracieusement,ADV,,,0.54,2.7,3.24
vaillamment,ADV,,,0.6,2.64,3.24
âprement,ADV,,,0.13,3.11,3.24
frénétiquement,ADV,,,0.26,2.97,3.23
grièvement,ADV,,,1.68,1.55,3.23
complaisamment,ADV,,,0.01,3.18,3.19
concrètement,ADV,,,2.04,1.15,3.19
brillamment,ADV,,,0.88,2.3,3.18
fondamentalement,ADV,,,2.03,1.15,3.18
amplement,ADV,,,1.33,1.82,3.15
voluptueusement,ADV,,,0.01,3.11,3.12
inversement,ADV,,,0.47,2.64,3.11
promptement,ADV,,,0.35,2.7,3.05
communément,ADV,,,0.54,2.5,3.04
nada,ADV,,,2.63,0.41,3.04
honteusement,ADV,,,0.58,2.43,3.01
mais,ADV,,,1.45,1.55,3.0
multi,ADV,,,2.37,0.61,2.98
paresseusement,ADV,,,0.01,2.97,2.98
perpète,ADV,,,1.46,1.49,2.95
méticuleusement,ADV,,,0.37,2.57,2.94
superbement,ADV,,,0.3,2.64,2.94
ordinairement,ADV,,,0.21,2.7,2.91
efficacement,ADV,,,0.67,2.23,2.9
remarquablement,ADV,,,0.99,1.89,2.88
ridiculement,ADV,,,0.3,2.57,2.87
goulûment,ADV,,,0.14,2.7,2.84
hardiment,ADV,,,1.2,1.62,2.82
adroitement,ADV,,,0.85,1.96,2.81
allégrement,ADV,,,0.03,2.77,2.8
subrepticement,ADV,,,0.15,2.64,2.79
intelligemment,ADV,,,1.28,1.49,2.77
nonchalamment,ADV,,,0.04,2.7,2.74
subtilement,ADV,,,0.44,2.3,2.74
fiévreusement,ADV,,,0.03,2.7,2.73
impeccablement,ADV,,,0.09,2.64,2.73
amoureusement,ADV,,,0.22,2.5,2.72
in extremis,ADV,,,0.07,2.64,2.71
médiocrement,ADV,,,0.28,2.43,2.71
copieusement,ADV,,,0.13,2.57,2.7
incontestablement,ADV,,,0.61,2.09,2.7
immensément,ADV,,,0.39,2.3,2.69
financièrement,ADV,,,2.21,0.47,2.68
de guingois,ADV,,,0.01,2.64,2.65
royalement,ADV,,,0.83,1.82,2.65
sottement,ADV,,,0.33,2.3,2.63
plein,ADV,,,1.81,0.81,2.62
fugitivement,ADV,,,0.0,2.57,2.57
modérément,ADV,,,0.21,2.36,2.57
loco,ADV,,,1.48,1.08,2.56
cordialement,ADV,,,0.72,1.82,2.54
tragiquement,ADV,,,0.58,1.96,2.54
anxieusement,ADV,,,0.17,2.36,2.53
misérablement,ADV,,,0.36,2.16,2.52
secundo,ADV,,,1.64,0.88,2.52
crûment,ADV,,,0.54,1.89,2.43
divinement,ADV,,,1.14,1.28,2.42
rapidos,ADV,,,0.53,1.89,2.42
presto,ADV,,,1.18,1.22,2.4
spécifiquement,ADV,,,1.18,1.22,2.4
ultérieurement,ADV,,,0.37,2.03,2.4
catégoriquement,ADV,,,0.7,1.69,2.39
psycho,ADV,,,2.11,0.27,2.38
allègrement,ADV,,,0.33,2.03,2.36
grosso modo,ADV,,,0.44,1.89,2.33
sommairement,ADV,,,0.13,2.16,2.29
dolce,ADV,,,1.53,0.74,2.27
foncièrement,ADV,,,0.18,2.09,2.27
lamentablement,ADV,,,0.44,1.82,2.26
pertinemment,ADV,,,0.77,1.49,2.26
obliquement,ADV,,,0.02,2.23,2.25
souverainement,ADV,,,0.16,2.09,2.25
familièrement,ADV,,,0.15,2.09,2.24
anormalement,ADV,,,1.08,1.15,2.23
courtoisement,ADV,,,0.27,1.96,2.23
